n_vessels, algorithm, time_min_ms, time_avg_ms, time_max_ms, delay_min, delay_avg, delay_max
5, optimal, 32.00, 33.33, 35.00, 18.00, 18.00, 18.00
5, edt, 0.00, 0.00, 0.00, 18.00, 18.00, 18.00
5, genetic, 59.00, 108.67, 207.00, 18.00, 18.00, 18.00
6, optimal, 551.00, 576.33, 596.00, 15.00, 15.00, 15.00
6, edt, 0.00, 0.00, 0.00, 15.00, 15.00, 15.00
6, genetic, 29.00, 31.00, 32.00, 15.00, 41.00, 54.00
7, optimal, 9188.00, 9472.00, 9722.00, 68.00, 68.00, 68.00
7, edt, 0.00, 0.00, 0.00, 68.00, 68.00, 68.00
7, genetic, 29.00, 29.67, 30.00, 68.00, 92.33, 141.00
8, optimal, 183546.00, 187171.67, 190737.00, 66.00, 66.00, 66.00
8, edt, 0.00, 0.00, 0.00, 66.00, 66.00, 66.00
8, genetic, 31.00, 32.00, 33.00, 66.00, 154.00, 200.00